,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
User 1,0.8154596290599273,0.7751495585473346,0.7997528327857852,0.7882516510082618,0.771348419517176,0.7892971253308523,0.7574456665783543,0.7577331136172434,0.7590238938922158,0.7641867268656204,0.8092468511384306,0.7731834788987406
User 2,0.7828451244765862,0.7741331742200862,0.799589918972274,0.7800888727906308,0.764391730576137,0.7892513153528398,0.7540552620822142,0.76152909866405,0.7719376215636251,0.774847420378681,0.8023103453049949,0.7838154696674903
User 3,0.7862335702520472,0.7729901614280654,0.7997528327857852,0.7942138482784027,0.7741927858733015,0.7586594162038511,0.7544166589511523,0.7593832588789714,0.7586078641123174,0.7686451821276127,0.7890890200639123,0.7905760779970931
User 4,0.7765821480015747,0.7677071684184017,0.799589918972274,0.791972598210409,0.7685889770610821,0.7705467890576364,0.764282587905113,0.7463351204598975,0.7524358447144033,0.7707632321382718,0.7839365050080161,0.7875296085607498
User 5,0.7966850906928167,0.7698767244830707,0.7997528327857852,0.7906892204994906,0.7641888160156179,0.7626483934016486,0.7584532572121423,0.752791159828545,0.752565838131492,0.7762556368775829,0.7637210828869792,0.7866652762237918
User 6,0.7910672037797357,0.7741331742200862,0.799589918972274,0.7897716728613564,0.7540252679287298,0.7706063468285207,0.7509295291330582,0.752672694321119,0.76690171579948,0.7553883289794153,0.8092468511384306,0.7750425937433608
User 7,0.7762337831887933,0.7729901614280654,0.7997528327857852,0.788231647875069,0.7642782377636502,0.791585931350959,0.770194130552289,0.7683742366525856,0.7639980632872915,0.7639555981500084,0.8023103453049949,0.7731834788987406
User 8,0.7839372369075661,0.7751495585473346,0.799589918972274,0.7837074368955642,0.7564438856131752,0.7538628910158761,0.7564642201920257,0.7455815846100162,0.7612139889639087,0.765784915275008,0.7890890200639123,0.7611124003809548
User 9,0.7859213732445782,0.7677071684184017,0.7997528327857852,0.7688965013337458,0.7619602100949527,0.7992852084750889,0.7776420470340386,0.795186638847604,0.765171663853693,0.7758372401066286,0.7839365050080161,0.7649371089048973
User 10,0.8102447737442663,0.7837595686246488,0.799589918972274,0.7977974710763894,0.7619574405391661,0.7667685293757934,0.7530466188224882,0.7663448361661853,0.7593786515662428,0.7677700901858702,0.7637210828869792,0.7971849842999996
User 11,0.8001727502998072,0.7729901614280654,0.7994424155462091,0.7775169912038724,0.7881792099691571,0.7649359154303108,0.7858855121863163,0.7577474288819189,0.7670456767843803,0.774847420378681,0.8023103453049949,0.8479669793743848
User 12,0.8796660490445583,0.7729901614280654,0.7994424155462091,0.7775169912038724,0.7881792099691571,0.7649359154303108,0.7858855121863163,0.7577474288819189,0.7670456767843803,0.774847420378681,0.8023103453049949,0.8479669793743848
User 13,0.7873746768911112,0.7677071684184017,0.799589918972274,0.7897716728613564,0.7705995378250778,0.7649359154303108,0.7858855121863163,0.7577474288819189,0.7670456767843803,0.774847420378681,0.8023103453049949,0.8479669793743848
