,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
User 1,0.8042648206333062,0.8825973304797525,0.9261157496924924,0.7933092865294104,0.7445954080677154,0.7677180485870192,0.7663114553092679,0.8384770758648348,0.9064183738110876,0.7936677924676888,0.9160939072744603,0.7541984617567539
User 2,0.8013322719534784,0.8800136597531507,1.000000079237577,0.8764987097340486,0.7411460217374523,0.7773015947749011,0.758147227112224,0.8059342570926271,0.8988813588154188,1.0000000171185537,0.7938440659559345,0.7477782514298591
User 3,0.7901613100219749,0.9152921119033812,0.9261157496924924,0.8577306174265871,0.7711640616655878,0.7216588553101918,0.7592724428166541,0.7900945309546031,0.8776029752946766,0.8292126757266594,0.8110424959939979,0.7519397884225222
User 4,0.7908621508954994,0.9999998039078418,1.000000079237577,0.8155532491043762,0.7598636539903735,0.7621006506488004,0.7792500341729336,0.7651387469940918,0.8646401330144494,0.7668890088701054,0.9999999156223679,0.7570961525278715
User 5,0.7989823882360885,0.8741028921079769,0.9261157496924924,0.7969995153458841,0.7604651384936585,0.7320420095822665,0.76285858871694,0.7690902345552182,0.8615825304369973,0.8232784758688925,0.7694690378642741,0.767423448239484
User 6,0.8635359821145856,0.8800136597531507,1.000000079237577,1.0000000134354718,0.7351209163484319,0.8002890234568698,0.7810270039915869,0.818696022804865,0.870761859833037,0.8167618289129512,0.9160939072744603,0.7717231839669041
User 7,0.7786773422431839,0.9152921119033812,0.9261157496924924,0.8051574191752187,0.7603891939556772,0.7657723315166195,0.8125831472996891,0.8464896403928728,0.8688091411873927,0.818927052414482,0.7938440659559345,0.7541984617567539
User 8,0.7880706388108145,0.8825973304797525,1.000000079237577,0.8678191956181769,0.7467497654407348,0.7501507183520512,0.7716861552624397,0.7890863224975372,0.8804846630781771,0.8826919402324318,0.8110424959939979,0.7663074814181426
User 9,0.799129168289521,0.9999998039078418,0.9261157496924924,0.8252054701756278,0.7744457036878893,0.7884049601885523,0.7701160282011713,0.8554887240032365,0.8634156698464841,0.8396917584377507,0.9999999156223679,0.7517868434319481
User 10,0.8086086449845065,0.8091028265082204,1.000000079237577,0.8320969709528938,0.7660037724995984,0.741440361543422,0.7955963911918195,0.8013187850209671,0.8772568923351322,0.8221939903532347,0.7694690378642741,0.7385072620179429
